#{"t_start": 1726155755.3063045, "env_id": "CustomHopper-v0"}
r,l,t
77.618633,46,0.145801
9.677088,12,0.164397
27.368787,31,0.202688
3.840054,7,0.211417
34.713175,29,0.245917
17.844954,26,0.278169
5.611773,10,0.292058
19.468454,20,0.315093
4.767849,10,0.329237
8.916876,11,0.346177
11.734387,12,0.365039
5.994496,15,0.388161
14.596097,16,0.40917
7.558892,33,0.453471
11.877193,20,0.484272
7.52295,10,0.49908
9.616349,14,0.518226
9.315907,12,0.534453
30.491489,35,0.586983
8.968851,13,0.614714
12.540908,13,0.636045
6.629431,13,0.657403
4.350839,18,0.685328
8.416875,12,0.700846
28.358521,25,0.749291
10.631421,15,0.783018
11.441714,15,0.803622
5.866806,8,0.8165
12.647128,17,0.845129
25.193014,24,0.882557
5.522114,19,0.905692
10.40553,11,0.922078
7.818484,12,0.944438
11.650962,16,0.966972
35.702235,41,1.034902
64.023757,44,1.110472
21.076891,31,1.178707
20.256627,20,1.205784
6.03291,8,1.216063
49.578223,56,1.29642
12.177916,13,1.312353
6.085236,15,1.332989
7.759347,11,1.350636
16.207085,20,1.381024
10.614001,12,1.40856
9.247059,12,1.429517
9.347436,11,1.442325
10.407028,14,1.45956
13.607294,29,1.492906
36.411277,37,1.535621
36.940303,30,1.60354
13.405665,25,1.721352
11.236264,24,1.767993
24.25306,23,1.790509
6.620329,11,1.801797
10.848799,15,1.818748
8.442397,31,1.847007
7.398273,10,1.858487
14.728034,23,1.879982
16.230383,22,1.901582
17.397303,21,1.928304
11.603687,12,1.947269
10.315368,13,1.96499
16.297691,18,1.983335
9.773071,20,2.00739
9.814405,12,2.02467
25.791777,24,2.050742
13.348622,19,2.078473
26.989906,24,2.110005
5.72275,12,2.123919
24.799432,32,2.172845
22.009883,29,2.220598
9.560648,13,2.248335
13.844127,19,2.288962
6.365347,12,2.307231
8.28792,11,2.321803
11.87073,14,2.33442
10.860196,14,2.347871
20.210175,18,2.364833
8.802634,12,2.377946
8.809163,13,2.390347
11.927942,16,2.406754
34.757927,27,2.438372
7.654057,10,2.448882
104.507965,67,2.523802
23.774733,26,2.551029
6.650826,15,2.565707
18.690771,20,2.593158
5.571279,10,2.601807
10.667354,19,2.629172
14.913682,16,2.649114
14.178031,14,2.667942
10.084582,16,2.697206
10.008258,12,2.71193
23.028746,26,2.741542
5.726072,19,2.766315
11.205986,13,2.780295
39.349534,32,2.821092
11.565206,24,2.848634
8.922071,10,2.858792
18.32744,19,2.877641
11.539373,19,2.897932
25.264661,36,2.94243
6.961826,10,2.952664
7.854294,15,2.972136
11.54743,16,5.397583
17.52481,18,5.418245
127.608558,70,5.512432
5.592995,8,5.52448
27.387046,25,5.555051
48.952486,30,5.598357
6.410622,10,5.611003
69.19976,42,5.664544
11.643041,14,5.68331
11.289173,14,5.707796
42.847368,34,5.757357
11.729076,25,5.792165
26.250704,31,5.833851
80.94164,51,5.894379
9.53925,11,5.910193
14.553066,17,5.929901
22.337944,30,5.96957
11.120402,14,5.992585
35.866475,31,6.037613
17.551319,32,6.078041
6.416753,10,6.093884
14.372562,16,6.116942
11.810321,26,6.150387
15.145978,15,6.167525
18.764253,22,6.193837
13.17587,16,6.211914
23.506636,22,6.242149
12.467685,13,6.254884
7.585757,13,6.269033
23.120582,23,6.300685
103.331658,75,6.385276
13.643189,16,6.399874
77.697213,63,6.468774
14.226611,21,6.488057
18.979774,25,6.514829
15.879234,21,6.5416
89.273144,59,6.607468
27.583747,23,6.631722
15.835563,19,6.650693
7.453372,16,6.675179
10.011918,16,6.70182
4.814872,11,6.727166
