Episode 0: Reward = [81.75132], lambda_i = 5, phi = 0.5, phi_i_L = 0.001, phi_i_H = 0.5
Episode 1: Reward = [65.416], lambda_i = 3, phi = 0.5, phi_i_L = 0.001, phi_i_H = 0.5
Episode 2: Reward = [66.327644], lambda_i = 4, phi = 0.001, phi_i_L = 0.001, phi_i_H = 0.5
Episode 3: Reward = [68.24284], lambda_i = 4, phi = 0.001, phi_i_L = 0.001, phi_i_H = 0.5
Episode 4: Reward = [70.11587], lambda_i = 4, phi = 0.5, phi_i_L = 0.001, phi_i_H = 0.5
Episode 5: Reward = [77.46825], lambda_i = 2, phi = 4.6, phi_i_L = 4.6, phi_i_H = 5.5
Episode 6: Reward = [221.19865], lambda_i = 3, phi = 0.5, phi_i_L = 0.001, phi_i_H = 0.5
Episode 7: Reward = [215.74706], lambda_i = 4, phi = 0.001, phi_i_L = 0.001, phi_i_H = 0.5
Episode 8: Reward = [213.51727], lambda_i = 4, phi = 0.001, phi_i_L = 0.001, phi_i_H = 0.5
Episode 9: Reward = [216.3612], lambda_i = 1, phi = 3.3, phi_i_L = 2.3, phi_i_H = 3.3
Episode 10: Reward = [216.64612], lambda_i = 0, phi = 3.5, phi_i_L = 3.5, phi_i_H = 4.5
Episode 11: Reward = [211.75436], lambda_i = 0, phi = 3.5, phi_i_L = 3.5, phi_i_H = 4.5
Episode 12: Reward = [219.76442], lambda_i = 1, phi = 2.3, phi_i_L = 2.3, phi_i_H = 3.3
Episode 13: Reward = [218.05035], lambda_i = 3, phi = 0.001, phi_i_L = 0.001, phi_i_H = 0.5
Episode 14: Reward = [215.43262], lambda_i = 3, phi = 0.001, phi_i_L = 0.001, phi_i_H = 0.5
Episode 15: Reward = [218.51993], lambda_i = 4, phi = 0.5, phi_i_L = 0.001, phi_i_H = 0.5
Episode 16: Reward = [234.99474], lambda_i = 5, phi = 0.001, phi_i_L = 0.001, phi_i_H = 0.5
Episode 17: Reward = [268.7744], lambda_i = 4, phi = 0.5, phi_i_L = 0.001, phi_i_H = 0.5
Episode 18: Reward = [299.03775], lambda_i = 0, phi = 3.5, phi_i_L = 3.5, phi_i_H = 4.5
Episode 19: Reward = [314.52463], lambda_i = 2, phi = 4.6, phi_i_L = 4.6, phi_i_H = 5.5
Episode 20: Reward = [323.04532], lambda_i = 3, phi = 0.001, phi_i_L = 0.001, phi_i_H = 0.5
Episode 21: Reward = [325.56046], lambda_i = 3, phi = 0.001, phi_i_L = 0.001, phi_i_H = 0.5
Episode 22: Reward = [329.865], lambda_i = 1, phi = 3.3, phi_i_L = 2.3, phi_i_H = 3.3
Episode 23: Reward = [331.1384], lambda_i = 5, phi = 0.5, phi_i_L = 0.001, phi_i_H = 0.5
Episode 24: Reward = [329.85696], lambda_i = 2, phi = 4.6, phi_i_L = 4.6, phi_i_H = 5.5
Episode 25: Reward = [328.50998], lambda_i = 3, phi = 0.5, phi_i_L = 0.001, phi_i_H = 0.5
Episode 26: Reward = [329.10593], lambda_i = 0, phi = 3.5, phi_i_L = 3.5, phi_i_H = 4.5
