Episode 0: Reward = [79.50991], Entropy = -0.36513467755828016,  lambda_i = 1, phi = 2.3, phi_i_L = 2.3, phi_i_H = 3.3
Episode 1: Reward = [66.62903], Entropy = -0.36513467755828016,  lambda_i = 0, phi = 4.5, phi_i_L = 3.5, phi_i_H = 4.5
Episode 2: Reward = [59.67183], Entropy = -0.36513467755828016,  lambda_i = 3, phi = 0.5, phi_i_L = 0.001, phi_i_H = 0.5
Episode 3: Reward = [60.13565], Entropy = -0.36513467755828016,  lambda_i = 2, phi = 5.5, phi_i_L = 4.6, phi_i_H = 5.5
Episode 4: Reward = [201.4706], Entropy = -0.36513467755828016,  lambda_i = 0, phi = 4.5, phi_i_L = 3.5, phi_i_H = 4.5
Episode 5: Reward = [219.54013], Entropy = -0.36513467755828016,  lambda_i = 2, phi = 5.5, phi_i_L = 4.6, phi_i_H = 5.5
Episode 6: Reward = [217.0124], Entropy = -0.36513467755828016,  lambda_i = 5, phi = 0.5, phi_i_L = 0.001, phi_i_H = 0.5
Episode 7: Reward = [227.33713], Entropy = -0.36513467755828016,  lambda_i = 1, phi = 2.3, phi_i_L = 2.3, phi_i_H = 3.3
Episode 8: Reward = [220.75206], Entropy = -0.36513467755828016,  lambda_i = 2, phi = 5.5, phi_i_L = 4.6, phi_i_H = 5.5
Episode 9: Reward = [214.58623], Entropy = -0.36513467755828016,  lambda_i = 0, phi = 4.5, phi_i_L = 3.5, phi_i_H = 4.5
Episode 10: Reward = [226.12344], Entropy = -0.36513467755828016,  lambda_i = 0, phi = 3.5, phi_i_L = 3.5, phi_i_H = 4.5
Episode 11: Reward = [258.21558], Entropy = -0.36513467755828016,  lambda_i = 5, phi = 0.001, phi_i_L = 0.001, phi_i_H = 0.5
Episode 12: Reward = [278.07822], Entropy = -0.36513467755828016,  lambda_i = 2, phi = 5.5, phi_i_L = 4.6, phi_i_H = 5.5
Episode 13: Reward = [284.5258], Entropy = -0.36513467755828016,  lambda_i = 3, phi = 0.5, phi_i_L = 0.001, phi_i_H = 0.5
Episode 14: Reward = [307.5125], Entropy = -0.36513467755828016,  lambda_i = 5, phi = 0.001, phi_i_L = 0.001, phi_i_H = 0.5
Episode 15: Reward = [322.80695], Entropy = -0.36513467755828016,  lambda_i = 2, phi = 5.5, phi_i_L = 4.6, phi_i_H = 5.5
Episode 16: Reward = [329.06763], Entropy = -0.36513467755828016,  lambda_i = 1, phi = 3.3, phi_i_L = 2.3, phi_i_H = 3.3
Episode 17: Reward = [335.07773], Entropy = -0.36513467755828016,  lambda_i = 1, phi = 3.3, phi_i_L = 2.3, phi_i_H = 3.3
Episode 18: Reward = [335.67404], Entropy = -0.36513467755828016,  lambda_i = 0, phi = 4.5, phi_i_L = 3.5, phi_i_H = 4.5
Episode 19: Reward = [339.97836], Entropy = -0.36513467755828016,  lambda_i = 5, phi = 0.001, phi_i_L = 0.001, phi_i_H = 0.5
Episode 20: Reward = [333.8132], Entropy = -0.36513467755828016,  lambda_i = 5, phi = 0.5, phi_i_L = 0.001, phi_i_H = 0.5
Episode 21: Reward = [321.74103], Entropy = -0.36513467755828016,  lambda_i = 2, phi = 5.5, phi_i_L = 4.6, phi_i_H = 5.5
Episode 22: Reward = [315.9532], Entropy = -0.36513467755828016,  lambda_i = 1, phi = 3.3, phi_i_L = 2.3, phi_i_H = 3.3
Episode 23: Reward = [327.8099], Entropy = -0.36513467755828016,  lambda_i = 4, phi = 0.5, phi_i_L = 0.001, phi_i_H = 0.5
Episode 24: Reward = [336.40204], Entropy = -0.36513467755828016,  lambda_i = 4, phi = 0.5, phi_i_L = 0.001, phi_i_H = 0.5
Episode 25: Reward = [310.15503], Entropy = -0.36513467755828016,  lambda_i = 3, phi = 0.001, phi_i_L = 0.001, phi_i_H = 0.5
Episode 26: Reward = [289.18393], Entropy = -0.36513467755828016,  lambda_i = 4, phi = 0.5, phi_i_L = 0.001, phi_i_H = 0.5
Episode 27: Reward = [332.7027], Entropy = -0.36513467755828016,  lambda_i = 3, phi = 0.5, phi_i_L = 0.001, phi_i_H = 0.5
Episode 28: Reward = [328.11505], Entropy = -0.36513467755828016,  lambda_i = 4, phi = 0.001, phi_i_L = 0.001, phi_i_H = 0.5
Episode 29: Reward = [523.7389], Entropy = -0.36513467755828016,  lambda_i = 5, phi = 0.5, phi_i_L = 0.001, phi_i_H = 0.5
Episode 30: Reward = [469.6905], Entropy = -0.36513467755828016,  lambda_i = 5, phi = 0.5, phi_i_L = 0.001, phi_i_H = 0.5
Episode 31: Reward = [482.92453], Entropy = -0.36513467755828016,  lambda_i = 5, phi = 0.5, phi_i_L = 0.001, phi_i_H = 0.5
