Episode 0: Reward = [115.16398], lambda_i = 3, phi = 0.2019421544753485, phi_i_L = 0.01, phi_i_H = 0.5
Episode 1: Reward = [66.403824], lambda_i = 4, phi = 0.3283447636236547, phi_i_L = 0.01, phi_i_H = 0.5
Episode 2: Reward = [60.298233], lambda_i = 4, phi = 0.3283447636236547, phi_i_L = 0.01, phi_i_H = 0.5
Episode 3: Reward = [59.90092], lambda_i = 4, phi = 0.3283447636236547, phi_i_L = 0.01, phi_i_H = 0.5
Episode 4: Reward = [64.21831], lambda_i = 3, phi = 0.2019421544753485, phi_i_L = 0.01, phi_i_H = 0.5
Episode 5: Reward = [221.70657], lambda_i = 5, phi = 0.41432949134399394, phi_i_L = 0.01, phi_i_H = 0.5
Episode 6: Reward = [220.81041], lambda_i = 3, phi = 0.2019421544753485, phi_i_L = 0.01, phi_i_H = 0.5
Episode 7: Reward = [218.1736], lambda_i = 2, phi = 6.074571704653479, phi_i_L = 5.0, phi_i_H = 6.5
Episode 8: Reward = [218.813], lambda_i = 4, phi = 0.3283447636236547, phi_i_L = 0.01, phi_i_H = 0.5
Episode 9: Reward = [222.88771], lambda_i = 2, phi = 6.074571704653479, phi_i_L = 5.0, phi_i_H = 6.5
Episode 10: Reward = [219.62556], lambda_i = 5, phi = 0.41432949134399394, phi_i_L = 0.01, phi_i_H = 0.5
Episode 11: Reward = [222.04962], lambda_i = 1, phi = 2.7203359122469957, phi_i_L = 2.7, phi_i_H = 3.6
Episode 12: Reward = [232.69945], lambda_i = 5, phi = 0.41432949134399394, phi_i_L = 0.01, phi_i_H = 0.5
Episode 13: Reward = [238.05742], lambda_i = 2, phi = 6.074571704653479, phi_i_L = 5.0, phi_i_H = 6.5
Episode 14: Reward = [261.23846], lambda_i = 3, phi = 0.2019421544753485, phi_i_L = 0.01, phi_i_H = 0.5
Episode 15: Reward = [283.8003], lambda_i = 4, phi = 0.3283447636236547, phi_i_L = 0.01, phi_i_H = 0.5
Episode 16: Reward = [312.13327], lambda_i = 2, phi = 6.074571704653479, phi_i_L = 5.0, phi_i_H = 6.5
Episode 17: Reward = [313.56073], lambda_i = 0, phi = 4.255008244990702, phi_i_L = 3.8, phi_i_H = 4.9
Episode 18: Reward = [316.47733], lambda_i = 2, phi = 6.074571704653479, phi_i_L = 5.0, phi_i_H = 6.5
Episode 19: Reward = [315.29337], lambda_i = 5, phi = 0.41432949134399394, phi_i_L = 0.01, phi_i_H = 0.5
Episode 20: Reward = [321.46442], lambda_i = 3, phi = 0.2019421544753485, phi_i_L = 0.01, phi_i_H = 0.5
Episode 21: Reward = [324.86816], lambda_i = 1, phi = 2.7203359122469957, phi_i_L = 2.7, phi_i_H = 3.6
Episode 22: Reward = [318.37225], lambda_i = 4, phi = 0.3283447636236547, phi_i_L = 0.01, phi_i_H = 0.5
Episode 23: Reward = [313.62216], lambda_i = 0, phi = 4.255008244990702, phi_i_L = 3.8, phi_i_H = 4.9
Episode 24: Reward = [313.88858], lambda_i = 5, phi = 0.41432949134399394, phi_i_L = 0.01, phi_i_H = 0.5
Episode 25: Reward = [314.97372], lambda_i = 3, phi = 0.2019421544753485, phi_i_L = 0.01, phi_i_H = 0.5
Episode 26: Reward = [315.5781], lambda_i = 3, phi = 0.2019421544753485, phi_i_L = 0.01, phi_i_H = 0.5
Episode 27: Reward = [337.19635], lambda_i = 4, phi = 0.3283447636236547, phi_i_L = 0.01, phi_i_H = 0.5
Episode 28: Reward = [388.49585], lambda_i = 3, phi = 0.2019421544753485, phi_i_L = 0.01, phi_i_H = 0.5
Episode 29: Reward = [402.51746], lambda_i = 4, phi = 0.3283447636236547, phi_i_L = 0.01, phi_i_H = 0.5
Episode 30: Reward = [425.92987], lambda_i = 5, phi = 0.41432949134399394, phi_i_L = 0.01, phi_i_H = 0.5
Episode 31: Reward = [499.23563], lambda_i = 0, phi = 4.255008244990702, phi_i_L = 3.8, phi_i_H = 4.9
Episode 32: Reward = [521.7208], lambda_i = 3, phi = 0.2019421544753485, phi_i_L = 0.01, phi_i_H = 0.5
Episode 33: Reward = [509.6105], lambda_i = 1, phi = 2.7203359122469957, phi_i_L = 2.7, phi_i_H = 3.6
Episode 34: Reward = [618.17255], lambda_i = 2, phi = 6.074571704653479, phi_i_L = 5.0, phi_i_H = 6.5
Episode 35: Reward = [684.74445], lambda_i = 5, phi = 0.41432949134399394, phi_i_L = 0.01, phi_i_H = 0.5
Episode 36: Reward = [710.44476], lambda_i = 2, phi = 6.074571704653479, phi_i_L = 5.0, phi_i_H = 6.5
Episode 37: Reward = [612.21344], lambda_i = 2, phi = 6.074571704653479, phi_i_L = 5.0, phi_i_H = 6.5
Episode 38: Reward = [616.65515], lambda_i = 3, phi = 0.2019421544753485, phi_i_L = 0.01, phi_i_H = 0.5
Episode 39: Reward = [374.74], lambda_i = 3, phi = 0.2019421544753485, phi_i_L = 0.01, phi_i_H = 0.5
Episode 40: Reward = [296.6504], lambda_i = 2, phi = 6.074571704653479, phi_i_L = 5.0, phi_i_H = 6.5
Episode 41: Reward = [371.63724], lambda_i = 0, phi = 4.255008244990702, phi_i_L = 3.8, phi_i_H = 4.9
Episode 42: Reward = [1132.6558], lambda_i = 5, phi = 0.41432949134399394, phi_i_L = 0.01, phi_i_H = 0.5
Episode 43: Reward = [1190.4108], lambda_i = 5, phi = 0.41432949134399394, phi_i_L = 0.01, phi_i_H = 0.5
Episode 44: Reward = [762.5036], lambda_i = 5, phi = 0.41432949134399394, phi_i_L = 0.01, phi_i_H = 0.5
Episode 45: Reward = [1147.9188], lambda_i = 3, phi = 0.2019421544753485, phi_i_L = 0.01, phi_i_H = 0.5
Episode 46: Reward = [1061.0198], lambda_i = 1, phi = 2.7203359122469957, phi_i_L = 2.7, phi_i_H = 3.6
Episode 47: Reward = [282.0605], lambda_i = 2, phi = 6.074571704653479, phi_i_L = 5.0, phi_i_H = 6.5
Episode 48: Reward = [1003.09174], lambda_i = 5, phi = 0.41432949134399394, phi_i_L = 0.01, phi_i_H = 0.5
Episode 49: Reward = [1044.448], lambda_i = 5, phi = 0.41432949134399394, phi_i_L = 0.01, phi_i_H = 0.5
