Episode 73: lambda_i = 0, phi_i_L = 3.6, phi_i_H = 4.5, Action: phi_i_L[0] increased by 0.1
Episode 77: lambda_i = 5, phi_i_L = 0.101, phi_i_H = 0.5, Action: phi_i_L[5] increased by 0.1
Episode 86: lambda_i = 2, phi_i_L = 4.6, phi_i_H = 5.4, Action: phi_i_H[2] decreased by 0.1
Episode 92: lambda_i = 1, phi_i_L = 2.3, phi_i_H = 3.1999999999999997, Action: phi_i_H[1] decreased by 0.1
Episode 105: lambda_i = 3, phi_i_L = 0.001, phi_i_H = 0.5, Action: phi_i_H[1] decreased by 0.1
Episode 108: lambda_i = 3, phi_i_L = 0.001, phi_i_H = 0.4, Action: phi_i_H[3] decreased by 0.1
Episode 111: lambda_i = 0, phi_i_L = 3.6, phi_i_H = 4.5, Action: phi_i_H[3] decreased by 0.1
Episode 116: lambda_i = 5, phi_i_L = 0.101, phi_i_H = 0.4, Action: phi_i_H[5] decreased by 0.1
Episode 126: lambda_i = 2, phi_i_L = 4.699999999999999, phi_i_H = 5.4, Action: phi_i_L[2] increased by 0.1
Episode 139: lambda_i = 1, phi_i_L = 2.3, phi_i_H = 3.1999999999999997, Action: phi_i_L[2] increased by 0.1
Episode 157: lambda_i = 4, phi_i_L = 0.101, phi_i_H = 0.5, Action: phi_i_L[4] increased by 0.1
Episode 167: lambda_i = 2, phi_i_L = 4.699999999999999, phi_i_H = 5.5, Action: phi_i_H[2] increased by 0.1
Episode 173: lambda_i = 4, phi_i_L = 0.101, phi_i_H = 0.6, Action: phi_i_H[4] increased by 0.1
Episode 182: lambda_i = 0, phi_i_L = 3.5, phi_i_H = 4.5, Action: phi_i_L[0] decreased by 0.1
Episode 202: lambda_i = 1, phi_i_L = 2.3, phi_i_H = 3.3, Action: phi_i_H[1] increased by 0.1
Episode 213: lambda_i = 0, phi_i_L = 3.5, phi_i_H = 4.5, Action: phi_i_H[1] increased by 0.1
Episode 217: lambda_i = 5, phi_i_L = 0.0010000000000000009, phi_i_H = 0.4, Action: phi_i_L[5] decreased by 0.1
Episode 236: lambda_i = 4, phi_i_L = 0.0010000000000000009, phi_i_H = 0.6, Action: phi_i_L[4] decreased by 0.1
Episode 238: lambda_i = 5, phi_i_L = 0.0010000000000000009, phi_i_H = 0.5, Action: phi_i_H[5] increased by 0.1
Episode 246: lambda_i = 2, phi_i_L = 4.6, phi_i_H = 5.5, Action: phi_i_L[2] decreased by 0.1
Episode 273: lambda_i = 0, phi_i_L = 3.5, phi_i_H = 4.6, Action: phi_i_H[0] increased by 0.1
Episode 278: lambda_i = 3, phi_i_L = 0.001, phi_i_H = 0.5, Action: phi_i_H[3] increased by 0.1
Episode 283: lambda_i = 3, phi_i_L = 0.0, phi_i_H = 0.5, Action: phi_i_L[3] decreased by 0.1
Episode 299: lambda_i = 2, phi_i_L = 4.6, phi_i_H = 5.6, Action: phi_i_H[2] increased by 0.1
Episode 312: lambda_i = 4, phi_i_L = 0.0010000000000000009, phi_i_H = 0.7, Action: phi_i_H[4] increased by 0.1
Episode 313: lambda_i = 0, phi_i_L = 3.4, phi_i_H = 4.6, Action: phi_i_L[0] decreased by 0.1
Episode 316: lambda_i = 1, phi_i_L = 2.1999999999999997, phi_i_H = 3.3, Action: phi_i_L[1] decreased by 0.1
Episode 318: lambda_i = 1, phi_i_L = 2.1999999999999997, phi_i_H = 3.4, Action: phi_i_H[1] increased by 0.1
Episode 328: lambda_i = 5, phi_i_L = 0.0, phi_i_H = 0.5, Action: phi_i_L[5] decreased by 0.1
Episode 332: lambda_i = 5, phi_i_L = 0.0, phi_i_H = 0.6, Action: phi_i_H[5] increased by 0.1
Episode 348: lambda_i = 3, phi_i_L = 0.0, phi_i_H = 0.6, Action: phi_i_H[3] increased by 0.1
Episode 363: lambda_i = 3, phi_i_L = 0.0, phi_i_H = 0.6, Action: phi_i_L[3] decreased by 0.1
Episode 371: lambda_i = 4, phi_i_L = 0.0, phi_i_H = 0.7, Action: phi_i_L[4] decreased by 0.1
Episode 377: lambda_i = 0, phi_i_L = 3.4, phi_i_H = 4.699999999999999, Action: phi_i_H[0] increased by 0.1
Episode 391: lambda_i = 2, phi_i_L = 4.5, phi_i_H = 5.6, Action: phi_i_L[2] decreased by 0.1
Episode 406: lambda_i = 5, phi_i_L = 0.0, phi_i_H = 0.7, Action: phi_i_H[5] increased by 0.1
Episode 425: lambda_i = 4, phi_i_L = 0.0, phi_i_H = 0.7999999999999999, Action: phi_i_H[4] increased by 0.1
Episode 444: lambda_i = 1, phi_i_L = 2.0999999999999996, phi_i_H = 3.4, Action: phi_i_L[1] decreased by 0.1
Episode 445: lambda_i = 1, phi_i_L = 2.0999999999999996, phi_i_H = 3.5, Action: phi_i_H[1] increased by 0.1
Episode 452: lambda_i = 5, phi_i_L = 0.0, phi_i_H = 0.7, Action: phi_i_L[5] decreased by 0.1
Episode 463: lambda_i = 3, phi_i_L = 0.0, phi_i_H = 0.7, Action: phi_i_H[3] increased by 0.1
Episode 475: lambda_i = 0, phi_i_L = 3.3, phi_i_H = 4.699999999999999, Action: phi_i_L[0] decreased by 0.1
Episode 480: lambda_i = 4, phi_i_L = 0.0, phi_i_H = 0.7999999999999999, Action: phi_i_L[4] decreased by 0.1
Episode 482: lambda_i = 2, phi_i_L = 4.5, phi_i_H = 5.699999999999999, Action: phi_i_H[2] increased by 0.1
Episode 503: lambda_i = 3, phi_i_L = 0.0, phi_i_H = 0.7, Action: phi_i_L[3] decreased by 0.1
