Episode 43: lambda_i = 5, phi_i_L = 0.0, phi_i_H = 0.5, Action: phi_i_L[5] decreased by 0.1
Episode 87: lambda_i = 4, phi_i_L = 0.01, phi_i_H = 0.4, Action: phi_i_H[4] increased by 0.1
Episode 90: lambda_i = 2, phi_i_L = 4.6, phi_i_H = 5.6, Action: phi_i_H[2] increased by 0.1
Episode 100: lambda_i = 0, phi_i_L = 3.5, phi_i_H = 4.6, Action: phi_i_H[0] increased by 0.1
Episode 102: lambda_i = 5, phi_i_L = 0.0, phi_i_H = 0.5, Action: phi_i_L[5] decreased by 0.1
Episode 106: lambda_i = 0, phi_i_L = 3.4, phi_i_H = 4.6, Action: phi_i_L[0] decreased by 0.1
Episode 116: lambda_i = 5, phi_i_L = 0.0, phi_i_H = 0.6, Action: phi_i_H[5] increased by 0.1
Episode 130: lambda_i = 3, phi_i_L = 0.0, phi_i_H = 0.5, Action: phi_i_L[3] decreased by 0.1
Episode 133: lambda_i = 1, phi_i_L = 1.9, phi_i_H = 3.5, Action: phi_i_L[1] decreased by 0.1
Episode 137: lambda_i = 2, phi_i_L = 4.5, phi_i_H = 5.6, Action: phi_i_L[2] decreased by 0.1
Episode 140: lambda_i = 4, phi_i_L = 0.0, phi_i_H = 0.4, Action: phi_i_L[4] decreased by 0.1
Episode 158: lambda_i = 1, phi_i_L = 1.9, phi_i_H = 3.6, Action: phi_i_H[1] increased by 0.1
Episode 161: lambda_i = 2, phi_i_L = 4.5, phi_i_H = 5.699999999999999, Action: phi_i_H[2] increased by 0.1
Episode 212: lambda_i = 0, phi_i_L = 3.4, phi_i_H = 4.699999999999999, Action: phi_i_H[0] increased by 0.1
Episode 229: lambda_i = 3, phi_i_L = 0.0, phi_i_H = 0.6, Action: phi_i_H[3] increased by 0.1
Episode 236: lambda_i = 4, phi_i_L = 0.0, phi_i_H = 0.5, Action: phi_i_H[4] increased by 0.1
Episode 237: lambda_i = 2, phi_i_L = 4.5, phi_i_H = 5.799999999999999, Action: phi_i_H[2] increased by 0.1
Episode 238: lambda_i = 3, phi_i_L = 0.0, phi_i_H = 0.6, Action: phi_i_L[3] decreased by 0.1
Episode 249: lambda_i = 1, phi_i_L = 1.7999999999999998, phi_i_H = 3.6, Action: phi_i_L[1] decreased by 0.1
Episode 251: lambda_i = 0, phi_i_L = 3.3, phi_i_H = 4.699999999999999, Action: phi_i_L[0] decreased by 0.1
Episode 256: lambda_i = 5, phi_i_L = 0.0, phi_i_H = 0.7, Action: phi_i_H[5] increased by 0.1
Episode 260: lambda_i = 5, phi_i_L = 0.0, phi_i_H = 0.7, Action: phi_i_L[5] decreased by 0.1
Episode 265: lambda_i = 1, phi_i_L = 1.7999999999999998, phi_i_H = 3.7, Action: phi_i_H[1] increased by 0.1
Episode 269: lambda_i = 2, phi_i_L = 4.4, phi_i_H = 5.799999999999999, Action: phi_i_L[2] decreased by 0.1
Episode 273: lambda_i = 4, phi_i_L = 0.0, phi_i_H = 0.5, Action: phi_i_L[4] decreased by 0.1
Episode 307: lambda_i = 0, phi_i_L = 3.3, phi_i_H = 4.799999999999999, Action: phi_i_H[0] increased by 0.1
Episode 328: lambda_i = 5, phi_i_L = 0.0, phi_i_H = 0.7, Action: phi_i_L[5] decreased by 0.1
Episode 329: lambda_i = 1, phi_i_L = 1.7999999999999998, phi_i_H = 3.8000000000000003, Action: phi_i_H[1] increased by 0.1
Episode 338: lambda_i = 1, phi_i_L = 1.6999999999999997, phi_i_H = 3.8000000000000003, Action: phi_i_L[1] decreased by 0.1
Episode 343: lambda_i = 2, phi_i_L = 4.4, phi_i_H = 5.899999999999999, Action: phi_i_H[2] increased by 0.1
Episode 356: lambda_i = 3, phi_i_L = 0.0, phi_i_H = 0.6, Action: phi_i_L[3] decreased by 0.1
Episode 370: lambda_i = 5, phi_i_L = 0.0, phi_i_H = 0.7999999999999999, Action: phi_i_H[5] increased by 0.1
Episode 388: lambda_i = 3, phi_i_L = 0.0, phi_i_H = 0.7, Action: phi_i_H[3] increased by 0.1
Episode 401: lambda_i = 0, phi_i_L = 3.3, phi_i_H = 4.899999999999999, Action: phi_i_H[0] increased by 0.1
Episode 408: lambda_i = 4, phi_i_L = 0.0, phi_i_H = 0.5, Action: phi_i_L[4] decreased by 0.1
Episode 416: lambda_i = 4, phi_i_L = 0.0, phi_i_H = 0.6, Action: phi_i_H[4] increased by 0.1
Episode 427: lambda_i = 2, phi_i_L = 4.300000000000001, phi_i_H = 5.899999999999999, Action: phi_i_L[2] decreased by 0.1
Episode 433: lambda_i = 1, phi_i_L = 1.6999999999999997, phi_i_H = 3.9000000000000004, Action: phi_i_H[1] increased by 0.1
Episode 446: lambda_i = 1, phi_i_L = 1.5999999999999996, phi_i_H = 3.9000000000000004, Action: phi_i_L[1] decreased by 0.1
Episode 453: lambda_i = 5, phi_i_L = 0.0, phi_i_H = 0.7999999999999999, Action: phi_i_L[5] decreased by 0.1
Episode 454: lambda_i = 3, phi_i_L = 0.0, phi_i_H = 0.7, Action: phi_i_L[3] decreased by 0.1
Episode 456: lambda_i = 0, phi_i_L = 3.1999999999999997, phi_i_H = 4.899999999999999, Action: phi_i_L[0] decreased by 0.1
Episode 473: lambda_i = 0, phi_i_L = 3.1999999999999997, phi_i_H = 4.999999999999998, Action: phi_i_H[0] increased by 0.1
