Episode 79: lambda_i = 3, phi_i_L = 0.001, phi_i_H = 0.4, Action: phi_i_H[3] decreased by 0.1
Episode 92: lambda_i = 0, phi_i_L = 3.5, phi_i_H = 4.5, Action: phi_i_H[3] decreased by 0.1
Episode 93: lambda_i = 2, phi_i_L = 4.6, phi_i_H = 5.4, Action: phi_i_H[2] decreased by 0.1
Episode 99: lambda_i = 4, phi_i_L = 0.001, phi_i_H = 0.4, Action: phi_i_H[4] decreased by 0.1
Episode 102: lambda_i = 5, phi_i_L = 0.101, phi_i_H = 0.5, Action: phi_i_L[5] increased by 0.1
Episode 109: lambda_i = 0, phi_i_L = 3.5, phi_i_H = 4.4, Action: phi_i_H[0] decreased by 0.1
Episode 116: lambda_i = 1, phi_i_L = 2.3, phi_i_H = 3.3, Action: phi_i_H[0] decreased by 0.1
Episode 120: lambda_i = 3, phi_i_L = 0.001, phi_i_H = 0.4, Action: phi_i_H[0] decreased by 0.1
Episode 122: lambda_i = 5, phi_i_L = 0.101, phi_i_H = 0.4, Action: phi_i_H[5] decreased by 0.1
Episode 124: lambda_i = 4, phi_i_L = 0.001, phi_i_H = 0.4, Action: phi_i_H[5] decreased by 0.1
Episode 140: lambda_i = 1, phi_i_L = 2.3, phi_i_H = 3.3, Action: phi_i_H[5] decreased by 0.1
Episode 171: lambda_i = 4, phi_i_L = 0.001, phi_i_H = 0.5, Action: phi_i_H[4] increased by 0.1
Episode 179: lambda_i = 0, phi_i_L = 3.5, phi_i_H = 4.5, Action: phi_i_H[0] increased by 0.1
Episode 190: lambda_i = 2, phi_i_L = 4.6, phi_i_H = 5.5, Action: phi_i_H[2] increased by 0.1
Episode 206: lambda_i = 1, phi_i_L = 2.3, phi_i_H = 3.4, Action: phi_i_H[1] increased by 0.1
Episode 210: lambda_i = 2, phi_i_L = 4.5, phi_i_H = 5.5, Action: phi_i_L[2] decreased by 0.1
Episode 215: lambda_i = 4, phi_i_L = 0.001, phi_i_H = 0.6, Action: phi_i_H[4] increased by 0.1
Episode 217: lambda_i = 0, phi_i_L = 3.5, phi_i_H = 4.5, Action: phi_i_H[4] increased by 0.1
Episode 218: lambda_i = 3, phi_i_L = 0.001, phi_i_H = 0.5, Action: phi_i_H[3] increased by 0.1
Episode 242: lambda_i = 3, phi_i_L = 0.0, phi_i_H = 0.5, Action: phi_i_L[3] decreased by 0.1
Episode 245: lambda_i = 2, phi_i_L = 4.5, phi_i_H = 5.6, Action: phi_i_H[2] increased by 0.1
Episode 260: lambda_i = 5, phi_i_L = 0.0010000000000000009, phi_i_H = 0.4, Action: phi_i_L[5] decreased by 0.1
Episode 266: lambda_i = 5, phi_i_L = 0.0010000000000000009, phi_i_H = 0.5, Action: phi_i_H[5] increased by 0.1
Episode 296: lambda_i = 2, phi_i_L = 4.4, phi_i_H = 5.6, Action: phi_i_L[2] decreased by 0.1
Episode 306: lambda_i = 1, phi_i_L = 2.1999999999999997, phi_i_H = 3.4, Action: phi_i_L[1] decreased by 0.1
Episode 310: lambda_i = 4, phi_i_L = 0.0, phi_i_H = 0.6, Action: phi_i_L[4] decreased by 0.1
Episode 311: lambda_i = 0, phi_i_L = 3.5, phi_i_H = 4.6, Action: phi_i_H[0] increased by 0.1
Episode 326: lambda_i = 1, phi_i_L = 2.1999999999999997, phi_i_H = 3.5, Action: phi_i_H[1] increased by 0.1
Episode 327: lambda_i = 3, phi_i_L = 0.0, phi_i_H = 0.5, Action: phi_i_L[3] decreased by 0.1
Episode 346: lambda_i = 3, phi_i_L = 0.0, phi_i_H = 0.6, Action: phi_i_H[3] increased by 0.1
Episode 362: lambda_i = 2, phi_i_L = 4.4, phi_i_H = 5.699999999999999, Action: phi_i_H[2] increased by 0.1
Episode 382: lambda_i = 2, phi_i_L = 4.300000000000001, phi_i_H = 5.699999999999999, Action: phi_i_L[2] decreased by 0.1
Episode 386: lambda_i = 0, phi_i_L = 3.4, phi_i_H = 4.6, Action: phi_i_L[0] decreased by 0.1
Episode 396: lambda_i = 4, phi_i_L = 0.0, phi_i_H = 0.7, Action: phi_i_H[4] increased by 0.1
Episode 398: lambda_i = 5, phi_i_L = 0.0010000000000000009, phi_i_H = 0.6, Action: phi_i_H[5] increased by 0.1
Episode 413: lambda_i = 3, phi_i_L = 0.0, phi_i_H = 0.7, Action: phi_i_H[3] increased by 0.1
Episode 414: lambda_i = 3, phi_i_L = 0.0, phi_i_H = 0.7, Action: phi_i_L[3] decreased by 0.1
