#{"t_start": 1726154835.389858, "env_id": "CustomHopper-v0"}
r,l,t
25.549244,22,0.165892
9.615203,17,0.197982
7.256858,10,0.216433
18.201326,21,0.277825
11.328406,13,0.320776
22.479548,24,0.397171
10.957238,15,0.440148
8.021547,13,0.476546
18.182792,31,0.534919
10.094553,17,0.594399
11.47882,14,0.662957
12.737375,16,0.74446
8.453402,10,0.810269
16.008166,17,0.888943
31.419085,28,1.01618
11.698323,15,1.073939
3.970828,12,1.109035
6.323485,10,1.134277
5.69313,9,1.170079
13.685423,24,1.241233
11.50154,15,1.274272
25.529209,25,1.331159
9.998879,16,1.350954
8.234553,13,1.371016
10.942425,12,1.38292
7.185734,9,1.398942
9.752086,13,1.422459
18.607799,21,1.444347
13.808031,15,1.46545
6.857081,10,1.481653
12.244455,14,1.506119
69.993684,48,1.597327
2.875564,24,1.658181
11.015862,12,1.687536
6.874138,11,1.711647
4.507536,8,1.720764
11.408091,16,1.740468
15.030298,15,1.758489
5.419478,8,1.765437
14.590671,19,1.795492
15.250921,15,1.814068
15.012946,18,1.832962
8.761277,11,1.845755
16.123934,20,1.865042
11.83639,16,1.880085
8.344029,10,1.892744
35.657524,43,1.930728
9.406658,14,1.944392
7.996084,13,1.957865
8.478007,10,1.970158
12.745864,14,1.983242
15.846493,34,2.018895
14.082244,17,2.033698
11.774113,18,2.049899
5.948338,10,2.060872
10.167783,17,2.077469
7.181038,10,2.089761
8.6673,14,2.104381
132.533424,70,2.182968
9.632103,21,2.21209
6.818351,10,2.228405
9.904333,18,2.259139
6.483448,13,2.27542
13.456123,17,2.29664
14.527727,26,2.329853
13.286453,16,2.351441
8.206536,31,2.387763
16.106058,18,2.405667
7.098461,26,2.433013
14.67657,15,2.450235
8.580031,19,2.475751
28.003073,24,2.508362
60.846822,49,2.576612
41.166405,35,2.616317
12.920668,15,2.63388
11.721631,15,2.671541
9.936392,16,2.707031
8.224763,14,2.731926
8.952348,11,2.757895
18.886374,19,2.7965
9.190929,12,2.828977
102.992491,66,3.057251
11.664096,25,3.158509
24.089328,24,3.208627
16.908659,18,3.241241
21.565193,20,3.294517
15.358898,23,3.361045
8.20899,11,3.386624
54.931263,36,3.522333
18.364905,23,3.592621
5.756487,10,3.6274
8.232439,17,3.677559
9.078911,13,3.725003
10.312219,17,3.74917
5.268189,8,3.765925
3.907712,8,3.778388
5.031911,11,3.796437
5.020322,10,3.809814
9.321105,12,3.825014
13.995683,26,3.853453
50.440031,41,3.902418
11.57318,23,3.933151
7.571972,15,3.948909
57.022989,35,3.991752
62.301273,42,4.048551
9.768266,21,4.073769
14.818968,21,5.921963
92.167301,53,5.974603
16.637962,16,5.990053
21.944713,23,6.021295
19.551622,18,6.03724
43.071786,30,6.065293
76.048616,64,6.140873
10.839777,14,6.165303
17.170051,16,6.210393
46.733708,35,6.295496
8.853441,10,6.319181
18.316436,18,6.346677
44.259185,39,6.388598
30.560202,40,6.423713
52.204229,48,6.473974
13.033099,17,6.490765
11.601205,26,6.524939
140.993159,74,6.661701
14.393617,18,6.692389
8.31468,13,6.711392
23.700967,23,6.745883
10.135565,12,6.771757
18.470795,19,6.815328
18.085038,18,6.861525
72.76862,42,7.014091
43.853076,57,7.133826
7.078497,11,7.159363
30.777562,26,7.195692
13.382777,19,7.233686
15.150497,19,7.272461
69.262087,44,7.37526
17.857309,26,7.443405
136.936406,71,7.59786
43.033825,32,7.663986
16.438986,19,7.703931
108.591004,68,7.798726
9.679615,13,7.813701
5.616261,9,7.823861
35.122719,28,7.857769
52.721474,41,7.908658
12.448129,14,7.922535
21.265944,20,7.945222
12.261131,26,7.973099
5.910925,10,7.98185
21.428621,20,8.054913
11.745197,20,8.124537
22.53706,32,8.263213
10.266771,24,8.452073
13.12649,16,8.537117
27.198231,28,8.660823
25.76092,25,8.731085
59.668939,45,8.833517
5.779652,11,8.84885
31.435899,32,8.892628
7.850232,11,8.905601
7.868096,12,8.918101
5.852069,9,8.926969
9.013965,13,8.942711
8.610478,15,8.95787
16.564035,17,8.974657
20.340341,32,9.004914
36.381313,35,9.046258
13.392015,16,9.06929
56.997167,55,9.142562
9.162612,11,9.158638
14.445607,23,9.191692
21.456926,19,9.21936
9.270916,13,9.23428
12.635258,16,9.256223
201.579477,95,9.34595
9.806382,12,9.35801
69.042586,54,9.409525
21.273259,20,9.427785
10.566048,18,9.444772
9.058264,11,9.462872
15.972004,16,9.494264
13.637538,15,9.513436
18.009335,28,10.991293
127.412007,67,11.054234
24.358348,23,11.078899
13.482028,22,11.104782
55.727316,34,11.137533
62.256646,40,11.173737
75.238548,46,11.235233
4.974168,14,11.27161
17.389856,21,11.300562
220.467011,105,11.424647
72.963496,44,11.49563
35.810652,32,11.654259
19.234822,16,11.695864
77.699924,46,11.831821
23.684358,23,11.902222
22.152923,26,11.999627
55.983686,41,12.208694
28.348504,32,12.394419
106.721441,62,12.649877
15.403042,16,12.7011
18.792945,25,12.735685
5.803099,9,12.750791
13.192851,15,12.776492
9.05262,11,12.80098
216.890309,111,13.017256
32.370267,28,13.108507
57.97926,44,13.236724
68.052123,75,13.389357
7.079301,9,13.406215
49.958275,39,13.505968
19.112241,24,13.5425
13.376016,15,13.568927
8.546424,13,13.59015
45.687762,33,13.629842
100.441503,56,13.726823
114.043009,62,13.812864
103.106407,58,13.920998
22.112642,21,13.96088
134.091026,68,14.025176
23.319996,22,14.04445
6.277639,12,14.057072
79.333296,47,14.104255
17.951972,19,14.122394
65.318062,44,14.159621
73.073758,43,14.211569
58.399679,40,14.269885
8.752421,11,14.286341
152.493014,79,14.396959
9.314307,29,14.444889
37.407898,59,14.510405
42.866783,42,14.547028
83.435906,64,14.609471
13.123457,28,14.646422
12.5686,30,14.67457
36.185475,41,16.195319
65.721742,47,16.249253
7.989857,10,16.259983
41.136062,41,16.315131
91.682922,62,16.393533
73.106376,50,16.447711
64.769752,39,16.502775
82.229702,47,16.590214
86.225866,52,16.661342
87.750961,53,16.716314
25.142653,21,16.745722
126.605931,68,16.809039
12.516002,17,16.825386
52.263172,35,16.860598
196.307176,100,17.117311
144.629812,88,17.250813
35.579256,34,17.309289
116.851793,79,17.45945
27.103593,24,17.488873
153.4929,84,17.586322
47.018351,34,17.631425
91.551653,52,17.685311
73.65666,68,17.789023
91.538162,56,17.873364
86.790221,64,17.955508
65.329573,38,18.008307
70.782713,42,18.056135
182.980362,86,18.155468
199.08108,103,18.254348
222.896943,106,18.352595
123.003429,77,18.447837
218.82485,107,18.579573
66.814701,44,18.624156
127.349009,66,18.686417
107.267668,62,18.744231
9.96598,12,18.760085
24.985179,22,18.782757
127.131892,67,20.53932
68.254812,42,20.645901
78.620296,47,20.784616
104.357289,66,21.039361
21.691464,19,21.110703
219.015643,114,21.679718
170.463256,86,22.003304
227.801152,98,22.141502
138.750143,80,22.235556
180.462542,97,22.393795
159.819687,76,22.539281
98.633817,58,22.607394
112.815697,62,22.725755
206.378145,101,22.846982
144.809596,76,22.920873
201.149803,118,23.058195
78.599627,53,23.139886
172.352107,86,23.234732
188.994699,91,23.337904
183.636021,87,23.437019
26.896858,26,23.481594
19.93173,17,23.498924
63.562486,39,23.543067
145.436116,73,23.616871
56.171979,33,23.648645
64.852372,57,23.709149
140.903266,74,23.775699
142.884825,81,23.865448
185.751533,94,24.047702
142.097994,72,24.118656
235.75954,108,26.284958
125.207219,76,26.503523
138.476047,70,26.655041
177.744483,87,26.792787
115.483594,60,26.900243
18.493519,21,26.924711
55.821047,34,26.974125
82.695617,47,27.04036
169.086075,81,27.157445
203.038886,99,27.379464
69.98638,42,27.4353
126.026962,66,27.523995
181.490671,86,27.621639
99.927699,56,27.679788
232.841571,120,27.789806
77.597127,48,27.837221
217.66147,95,27.937899
100.071065,56,28.035386
172.874403,80,28.31477
113.368821,71,28.396737
219.300145,105,28.523282
225.289602,107,28.650975
62.620649,38,28.698361
72.025287,45,28.755242
49.540059,36,28.798599
125.142046,75,28.886493
140.616033,74,28.990811
92.583159,53,29.041377
99.081525,55,29.089232
193.027082,90,30.971481
255.483056,109,31.08524
269.61492,122,31.30515
230.729333,100,31.420114
85.375958,50,31.506281
195.729271,86,31.63315
145.014971,75,31.746807
158.177989,76,31.830348
226.137101,106,31.949316
216.750904,98,32.072507
218.429109,95,32.184119
124.35104,73,32.303883
269.227923,125,32.440224
75.489594,44,32.481429
204.906385,95,32.585854
249.607114,110,32.870029
104.008765,64,32.933469
268.215598,127,33.053835
76.991028,53,33.17477
73.178624,41,33.320939
22.934377,19,33.389863
242.549298,114,33.665539
192.004133,92,33.798573
195.644042,90,33.88775
233.560434,113,36.138466
195.433607,93,36.245971
229.021329,118,36.349946
245.405124,111,36.544724
96.459734,54,36.635244
104.132438,57,36.72844
215.782848,110,36.884382
198.86687,90,37.014122
88.563475,67,37.098248
219.272582,109,37.251931
100.206347,59,37.327768
203.54217,102,37.417461
221.558923,98,37.518208
