Episode 59: lambda_i = 0, phi_i_L = 3.6, phi_i_H = 4.5, Action: phi_i_L[0] increased by 0.1
Episode 90: lambda_i = 3, phi_i_L = 0.001, phi_i_H = 0.4, Action: phi_i_H[3] decreased by 0.1
Episode 92: lambda_i = 5, phi_i_L = 0.001, phi_i_H = 0.5, Action: phi_i_H[3] decreased by 0.1
Episode 94: lambda_i = 3, phi_i_L = 0.101, phi_i_H = 0.4, Action: phi_i_L[3] increased by 0.1
Episode 97: lambda_i = 4, phi_i_L = 0.101, phi_i_H = 0.5, Action: phi_i_L[4] increased by 0.1
Episode 107: lambda_i = 1, phi_i_L = 2.3, phi_i_H = 3.1999999999999997, Action: phi_i_H[1] decreased by 0.1
Episode 122: lambda_i = 4, phi_i_L = 0.101, phi_i_H = 0.4, Action: phi_i_H[4] decreased by 0.1
Episode 125: lambda_i = 2, phi_i_L = 4.6, phi_i_H = 5.5, Action: phi_i_H[4] decreased by 0.1
Episode 126: lambda_i = 2, phi_i_L = 4.6, phi_i_H = 5.5, Action: phi_i_H[4] decreased by 0.1
Episode 155: lambda_i = 0, phi_i_L = 3.6, phi_i_H = 4.5, Action: phi_i_H[4] decreased by 0.1
Episode 159: lambda_i = 5, phi_i_L = 0.001, phi_i_H = 0.4, Action: phi_i_H[5] decreased by 0.1
Episode 164: lambda_i = 1, phi_i_L = 2.3, phi_i_H = 3.1999999999999997, Action: phi_i_H[5] decreased by 0.1
Episode 181: lambda_i = 1, phi_i_L = 2.3, phi_i_H = 3.3, Action: phi_i_H[1] increased by 0.1
Episode 182: lambda_i = 5, phi_i_L = 0.0, phi_i_H = 0.4, Action: phi_i_L[5] decreased by 0.1
Episode 190: lambda_i = 4, phi_i_L = 0.0010000000000000009, phi_i_H = 0.4, Action: phi_i_L[4] decreased by 0.1
Episode 195: lambda_i = 0, phi_i_L = 3.5, phi_i_H = 4.5, Action: phi_i_L[0] decreased by 0.1
Episode 217: lambda_i = 3, phi_i_L = 0.0010000000000000009, phi_i_H = 0.4, Action: phi_i_L[3] decreased by 0.1
Episode 232: lambda_i = 2, phi_i_L = 4.6, phi_i_H = 5.6, Action: phi_i_H[2] increased by 0.1
Episode 236: lambda_i = 4, phi_i_L = 0.0010000000000000009, phi_i_H = 0.5, Action: phi_i_H[4] increased by 0.1
Episode 250: lambda_i = 2, phi_i_L = 4.5, phi_i_H = 5.6, Action: phi_i_L[2] decreased by 0.1
Episode 270: lambda_i = 0, phi_i_L = 3.5, phi_i_H = 4.6, Action: phi_i_H[0] increased by 0.1
Episode 287: lambda_i = 1, phi_i_L = 2.3, phi_i_H = 3.4, Action: phi_i_H[1] increased by 0.1
Episode 288: lambda_i = 5, phi_i_L = 0.0, phi_i_H = 0.4, Action: phi_i_L[5] decreased by 0.1
Episode 290: lambda_i = 5, phi_i_L = 0.0, phi_i_H = 0.5, Action: phi_i_H[5] increased by 0.1
